uf,estado,municipio,codigo_ibge,periodo,zona_residencial,doenca,numero_casos,taxa_incidencia
PA,Pará,Cametá,1502103,2004-2008,rural,Falciparum,21,6.9846673794482
PA,Pará,Mocajuba,1504604,2004-2008,rural,Falciparum,2,5.73625353867251
PA,Pará,Baião,1501204,2015-2019,rural,Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,rural,Falciparum,0,0
PA,Pará,Mocajuba,1504604,2015-2019,rural,Falciparum,0,0
PA,Pará,Baião,1501204,2004-2008,urban,Falciparum,56,101.687190964536
PA,Pará,Cametá,1502103,2004-2008,urban,Falciparum,12,5.14091581827456
PA,Pará,Mocajuba,1504604,2004-2008,urban,Falciparum,6,7.95713358097161
PA,Pará,Baião,1501204,2015-2019,urban,Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,urban,Falciparum,1,0.42840965152288
PA,Pará,Mocajuba,1504604,2015-2019,urban,Falciparum,0,0
PA,Pará,Baião,1501204,2004-2008,total,Falciparum,708,646.782076462796
PA,Pará,Cametá,1502103,2004-2008,total,Falciparum,33,6.17884961054524
PA,Pará,Mocajuba,1504604,2004-2008,total,Falciparum,8,7.25491974245035
PA,Pará,Baião,1501204,2015-2019,total,Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,total,Falciparum,0,0
PA,Pará,Mocajuba,1504604,2015-2019,total,Falciparum,0,0
PA,Pará,Baião,1501204,2004-2008,rural,Vivax,2209,4061.09845234045
PA,Pará,Cametá,1502103,2004-2008,rural,Vivax,172,57.2077518697662
PA,Pará,Mocajuba,1504604,2004-2008,rural,Vivax,34,97.5163101574326
PA,Pará,Baião,1501204,2015-2019,rural,Vivax,857,1575.53706367395
PA,Pará,Cametá,1502103,2015-2019,rural,Vivax,13891,4620.19116990071
PA,Pará,Mocajuba,1504604,2015-2019,rural,Vivax,860,2466.58902162918
PA,Pará,Baião,1501204,2004-2008,urban,Vivax,202,366.800224550647
PA,Pará,Cametá,1502103,2004-2008,urban,Vivax,83,35.5580010763991
PA,Pará,Mocajuba,1504604,2004-2008,urban,Vivax,81,107.421303343117
PA,Pará,Baião,1501204,2015-2019,urban,Vivax,146,265.113033586111
PA,Pará,Cametá,1502103,2015-2019,urban,Vivax,1383,592.490548056144
PA,Pará,Mocajuba,1504604,2015-2019,urban,Vivax,120,159.142671619432
PA,Pará,Baião,1501204,2004-2008,total,Vivax,2411,2202.53048919746
PA,Pará,Cametá,1502103,2004-2008,total,Vivax,255,47.7456560814859
PA,Pará,Mocajuba,1504604,2004-2008,total,Vivax,115,104.289471297724
PA,Pará,Baião,1501204,2015-2019,total,Vivax,1003,435.046627629581
PA,Pará,Cametá,1502103,2015-2019,total,Vivax,15274,2278.00149142431
